,Root,SearchRoot,Parents,Meanings,SearchMeanings,Lang,Clade_Count,Hellenic,Anatolian,Balto-Slavic,Germanic,Albanian,Italic,Celtic,Armenian,Tocharian,Indo-Iranic
0,bak-, bak- ,['none'],"peg, club"," peg, club ",ine-pro,5,1,0,1,1,0,1,1,0,0,0
1,bokъ, bokъ ,['bak-'],flank, flank ,sla-pro,1,0,0,1,0,0,0,0,0,0,0
2,bakas, bakas ,['bak-'],"peg, club"," peg, club ",ine-bsl-pro,1,0,0,1,0,0,0,0,0,0,0
3,bakos, bakos ,['bak-'],"peg, club"," peg, club ",ine-pro,1,0,0,1,0,0,0,0,0,0,0
4,bakkos, bakkos ,['bak-'],hook, hook ,cel-pro,1,0,0,0,0,0,0,1,0,0,0
5,bakkos, bakkos ,['bak-'],"peg, club"," peg, club ",ine-pro,1,0,0,0,0,0,0,1,0,0,0
6,bàkstelėti, bàkstelėti ,['bak-'],to thrust, to thrust ,lt,1,0,0,1,0,0,0,0,0,0,0
7,bakstīt, bakstīt ,['bak-'],to poke, to poke ,lv,1,0,0,1,0,0,0,0,0,0,0
8,baksḱ-, baksḱ- ,['bak-'],"peg, club"," peg, club ",ine-pro,1,0,0,1,0,0,0,0,0,0,0
9,βάκτρον, βάκτρον ,['bak-'],"peg, club"," peg, club ",grc,1,1,0,0,0,0,0,0,0,0,0
10,"baktrom, baktlom", baktrom | baktlom ,['bak-'],"peg, club"," peg, club ",ine-pro,1,1,0,0,0,0,0,0,0,0,0
11,baculum, baculum ,['bak-'],"peg, club"," peg, club ",la,1,0,0,0,0,0,1,0,0,0,0
12,bakklom, bakklom ,['bak-'],"peg, club"," peg, club ",itc-pro,1,0,0,0,0,0,1,0,0,0,0
13,bak(t)lo-, bak(t)lo- | baktlo- | baklo- ,['bak-'],"peg, club"," peg, club ",ine-pro,1,0,0,0,0,0,1,0,0,0,0
14,pagilaz, pagilaz ,['bak-'],"peg, club"," peg, club ",gem-pro,1,0,0,0,1,0,0,0,0,0,0
15,pagjō, pagjō ,['bak-'],"peg, club"," peg, club ",gem-pro,1,0,0,0,1,0,0,0,0,0,0
16,bakyéh₂, bakyéh₂ ,['bak-'],"peg, club"," peg, club ",ine-pro,1,0,0,0,1,0,0,0,0,0,0
17,bʰardʰéh₂, bʰardʰéh₂ ,['none'],beard, beard ,ine-pro,3,0,0,1,1,0,1,0,0,0,0
18,bardā́ˀtas, bardā́ˀtas ,['bʰardʰéh₂'],beard, beard ,ine-bsl-pro,1,0,0,1,0,0,0,0,0,0,0
19,barbātus, barbātus ,['bʰardʰéh₂'],beard, beard ,la,1,0,0,0,0,0,1,0,0,0,0
20,farβātos, farβātos ,['bʰardʰéh₂'],beard, beard ,itc-pro,1,0,0,0,0,0,1,0,0,0,0
21,bʰardʰéh₂tos, bʰardʰéh₂tos ,['bʰardʰéh₂'],bearded, bearded ,ine-pro,2,0,0,1,0,0,1,0,0,0,0
22,bardā́ˀ, bardā́ˀ ,['bʰardʰéh₂'],beard, beard ,ine-bsl-pro,1,0,0,1,0,0,0,0,0,0,0
23,bardaz, bardaz ,['bʰardʰéh₂'],beard, beard ,gem-pro,1,0,0,0,1,0,0,0,0,0,0
24,farβā, farβā ,['bʰardʰéh₂'],beard, beard ,itc-pro,1,0,0,0,0,0,1,0,0,0,0
25,bʰed-, bʰed- ,['none'],"to improve, to make better"," to improve, to make better ",ine-pro,4,0,0,0,1,1,0,1,0,0,1
26,batizô, batizô ,['bʰed-'],better, better ,gem-pro,1,0,0,0,1,0,0,0,0,0,0
27,batnaną, batnaną ,['bʰed-'],to get better, to get better ,gem-pro,1,0,0,0,1,0,0,0,0,0,0
28,bataz, bataz ,['bʰed-'],good, good ,gem-pro,1,0,0,0,1,0,0,0,0,0,0
29,batô, batô ,['bʰed-'],"improvement, advantage"," improvement, advantage ",gem-pro,1,0,0,0,1,0,0,0,0,0,0
30,bōtijaną, bōtijaną ,['bʰed-'],to improve, to improve ,gem-pro,1,0,0,0,1,0,0,0,0,0,0
31,bōtō, bōtō ,['bʰed-'],improvement, improvement ,gem-pro,1,0,0,0,1,0,0,0,0,0,0
32,bataną, bataną ,['bʰed-'],"to improve, to make better"," to improve, to make better ",gem-pro,1,0,0,0,1,0,0,0,0,0,0
33,bʰódeti, bʰódeti ,['bʰed-'],"to improve, to make better"," to improve, to make better ",ine-pro,1,0,0,0,1,0,0,0,0,0,0
34,betë, betë ,['bʰed-'],great, great ,sq,1,0,0,0,0,1,0,0,0,0,0
35,bʰadrás, bʰadrás ,['bʰed-'],"to improve, to make better"," to improve, to make better ",iir-pro,1,0,0,0,0,0,0,0,0,0,1
36,bʰedrós, bʰedrós ,['bʰed-'],"to improve, to make better"," to improve, to make better ",ine-pro,2,0,0,0,0,1,0,0,0,0,1
37,batiz, batiz ,['bʰed-'],better, better ,gem-pro,1,0,0,0,1,0,0,0,0,0,0
38,bʰódis, bʰódis ,['bʰed-'],"to improve, to make better"," to improve, to make better ",ine-pro,1,0,0,0,1,0,0,0,0,0,0
39,bodlon, bodlon ,['bʰed-'],"to improve, to make better"," to improve, to make better ",obt,1,0,0,0,0,0,0,1,0,0,0
40,both, both ,"['bʰed-', 'bʰewdʰ-']","to improve, to make better"," to improve, to make better ",kw,1,0,0,0,0,0,0,1,0,0,0
41,bodd, bodd ,"['bʰed-', 'bʰewdʰ-']","to improve, to make better"," to improve, to make better ",cy,1,0,0,0,0,0,0,1,0,0,0
42,boð, boð ,['bʰed-'],"to improve, to make better"," to improve, to make better ",wlm,1,0,0,0,0,0,0,1,0,0,0
43,boð, boð ,['bʰed-'],"to improve, to make better"," to improve, to make better ",cel-bry-pro,1,0,0,0,0,0,0,1,0,0,0
44,buide, buide ,['bʰed-'],"to improve, to make better"," to improve, to make better ",sga,1,0,0,0,0,0,0,1,0,0,0
45,bodyā, bodyā ,['bʰed-'],"to improve, to make better"," to improve, to make better ",cel-pro,1,0,0,0,0,0,0,1,0,0,0
46,bodos, bodos ,['bʰed-'],"pleasure, satisfaction, good will"," pleasure, satisfaction, good will ",cel-pro,1,0,0,0,0,0,0,1,0,0,0
47,bʰodós, bʰodós ,['bʰed-'],"to improve, to make better"," to improve, to make better ",ine-pro,1,0,0,0,0,0,0,1,0,0,0
48,bʰeh₂ǵos, bʰeh₂ǵos ,['none'],"beech, oak"," beech, oak ",ine-pro,6,1,0,1,1,1,1,1,0,0,0
49,bung, bung ,['bʰeh₂ǵos'],"chestnut, oak"," chestnut, oak ",sq,1,0,0,0,0,1,0,0,0,0,0
50,bunga, bunga ,['bʰeh₂ǵos'],"beech, oak"," beech, oak ",sqj-pro,1,0,0,0,0,1,0,0,0,0,0
51,bazъ, bazъ ,['bʰeh₂ǵos'],elder, elder ,sla-pro,1,0,0,1,0,0,0,0,0,0,0
52,bāˀźas, bāˀźas ,['bʰeh₂ǵos'],"beech, oak"," beech, oak ",ine-bsl-pro,1,0,0,1,0,0,0,0,0,0,0
53,bagos, bagos ,['bʰeh₂ǵos'],beech, beech ,cel-gau,1,0,0,0,0,0,0,1,0,0,0
54,bāgos, bāgos ,['bʰeh₂ǵos'],"beech, oak"," beech, oak ",cel-pro,1,0,0,0,0,0,0,1,0,0,0
55,bōkō, bōkō ,['bʰeh₂ǵos'],beech, beech ,gem-pro,1,0,0,0,1,0,0,0,0,0,0
56,pʰāgós, pʰāgós ,['bʰeh₂ǵos'],oak, oak ,grk-pro,1,1,0,0,0,0,0,0,0,0,0
57,fāgus, fāgus ,['bʰeh₂ǵos'],beech, beech ,la,1,0,0,0,0,0,1,0,0,0,0
58,fāgos, fāgos ,['bʰeh₂ǵos'],"beech, oak"," beech, oak ",itc-pro,1,0,0,0,0,0,1,0,0,0,0
59,bʰeh₂ǵʰús, bʰeh₂ǵʰús ,['none'],arm, arm ,ine-pro,4,1,0,0,1,0,0,0,0,1,1
60,bōguz, bōguz ,['bʰeh₂ǵʰús'],arm, arm ,gem-pro,1,0,0,0,1,0,0,0,0,0,0
61,pā́kʰus, pā́kʰus ,['bʰeh₂ǵʰús'],arm, arm ,grk-pro,1,1,0,0,0,0,0,0,0,0,0
62,bʰaHȷ́ʰúš, bʰaHȷ́ʰúš ,['bʰeh₂ǵʰús'],arm, arm ,iir-pro,1,0,0,0,0,0,0,0,0,0,1
63,poke, poke ,['bʰeh₂ǵʰús'],arm, arm ,xto,1,0,0,0,0,0,0,0,0,1,0
64,poko, poko ,['bʰeh₂ǵʰús'],arm, arm ,txb,1,0,0,0,0,0,0,0,0,1,0
65,pokowjä-, pokowjä- ,['bʰeh₂ǵʰús'],arm, arm ,ine-toc-pro,1,0,0,0,0,0,0,0,0,1,0
66,bʰeh₃g-, bʰeh₃g- ,['none'],"to bake, to roast, to fry"," to bake, to roast, to fry ",ine-pro,4,1,0,1,1,0,0,0,1,0,0
67,φώγω, φώγω ,['bʰeh₃g-'],"to bake, to roast, to fry"," to bake, to roast, to fry ",grc,1,1,0,0,0,0,0,0,0,0,0
68,pʰṓgō, pʰṓgō ,['bʰeh₃g-'],"to bake, to roast, to fry"," to bake, to roast, to fry ",grk-pro,1,1,0,0,0,0,0,0,0,0,0
69,bʰéh₃geti, bʰéh₃geti ,['bʰeh₃g-'],"to bake, to roast, to fry"," to bake, to roast, to fry ",ine-pro,1,1,0,0,0,0,0,0,0,0,0
70,bagati, bagati ,['bʰeh₃g-'],"to bake, to roast, to fry"," to bake, to roast, to fry ",sla-pro,1,0,0,1,0,0,0,0,0,0,0
71,bōˀgā́ˀtei, bōˀgā́ˀtei ,['bʰeh₃g-'],"to bake, to roast, to fry"," to bake, to roast, to fry ",ine-bsl-pro,1,0,0,1,0,0,0,0,0,0,0
72,bʰéh₃geh₂ti, bʰéh₃geh₂ti ,['bʰeh₃g-'],"to bake, to roast, to fry"," to bake, to roast, to fry ",ine-pro,1,0,0,1,0,0,0,0,0,0,0
73,bakaną, bakaną ,['bʰeh₃g-'],"to bake, to roast, to fry"," to bake, to roast, to fry ",gem-pro,1,0,0,0,1,0,0,0,0,0,0
74,bʰh₃géti, bʰh₃géti ,['bʰeh₃g-'],"to bake, to roast, to fry"," to bake, to roast, to fry ",ine-pro,1,0,0,0,1,0,0,0,0,0,0
75,βεκος, βεκος ,['bʰeh₃g-'],bread, bread ,xpg,1,1,0,0,0,0,0,0,0,0,0
76,"bʰéh₃gos, bʰéh₃gesos", bʰéh₃gos | bʰéh₃gesos ,['bʰeh₃g-'],"to bake, to roast, to fry"," to bake, to roast, to fry ",ine-pro,1,1,0,0,0,0,0,0,0,0,0
77,բոկեղ, բոկեղ ,['bʰeh₃g-'],"to bake, to roast, to fry"," to bake, to roast, to fry ",axm,1,0,0,0,0,0,0,0,1,0,0
78,բոկ, բոկ ,['bʰeh₃g-'],"to bake, to roast, to fry"," to bake, to roast, to fry ",hy,1,0,0,0,0,0,0,0,1,0,0
79,bažiti, bažiti ,['bʰeh₃g-'],"to bake, to roast, to fry"," to bake, to roast, to fry ",sla-pro,1,0,0,1,0,0,0,0,0,0,0
80,bʰelǵ-, bʰelǵ- ,['none'],"to balk, to beam"," to balk, to beam ",ine-pro,4,1,0,0,1,1,1,0,0,0,0
81,"flāmen sufflāmen, flāmen sub-flāmen", flāmen sufflāmen | flāmen sub-flāmen ,['bʰelǵ-'],brake, brake ,la,1,0,0,0,0,0,1,0,0,0,0
82,flagmen, flagmen ,['bʰelǵ-'],"to balk, to beam"," to balk, to beam ",itc-pro,1,0,0,0,0,0,1,0,0,0,0
83,"bʰélǵmn̥, bʰl̥ǵméns", bʰélǵmn̥ | bʰl̥ǵméns ,['bʰelǵ-'],"to balk, to beam"," to balk, to beam ",ine-pro,1,0,0,0,0,0,1,0,0,0,0
84,"belkô, balkô, balkuz", belkô | balkô | balkuz ,"['bʰelǵ-', 'bʰelǵʰ-']","to balk, to beam"," to balk, to beam ",gem-pro,1,0,0,0,1,0,0,0,0,0,0
85,"bʰélǵō, bʰólǵō", bʰélǵō | bʰólǵō ,['bʰelǵ-'],"to balk, to beam"," to balk, to beam ",ine-pro,1,0,0,0,1,0,0,0,0,0,0
86,bligë, bligë ,['bʰelǵ-'],"to balk, to beam"," to balk, to beam ",sq,1,0,0,0,0,1,0,0,0,0,0
87,bliga, bliga ,['bʰelǵ-'],"to balk, to beam"," to balk, to beam ",sqj-pro,1,0,0,0,0,1,0,0,0,0,0
88,φᾰ́λᾰγξ, φᾰ́λᾰγξ ,['bʰelǵ-'],"to balk, to beam"," to balk, to beam ",grc,1,1,0,0,0,0,0,0,0,0,0
89,fulciō, fulciō ,['bʰelǵ-'],"to prop up, to support"," to prop up, to support ",la,1,0,0,0,0,0,1,0,0,0,0
90,folkjō, folkjō ,['bʰelǵ-'],"to balk, to beam"," to balk, to beam ",itc-pro,1,0,0,0,0,0,1,0,0,0,0
91,bʰl̥ḱyéti, bʰl̥ḱyéti ,['bʰelǵ-'],"to balk, to beam"," to balk, to beam ",ine-pro,1,0,0,0,0,0,1,0,0,0,0
92,φάλκης, φάλκης ,['bʰelǵ-'],"rib of a ship, gunwale"," rib of a ship, gunwale ",grc,1,1,0,0,0,0,0,0,0,0,0
93,pʰə́lkās, pʰə́lkās ,['bʰelǵ-'],"to balk, to beam"," to balk, to beam ",grk-pro,1,1,0,0,0,0,0,0,0,0,0
94,bʰl̥ḱeh₂-, bʰl̥ḱeh₂- ,['bʰelǵ-'],"to balk, to beam"," to balk, to beam ",ine-pro,1,1,0,0,0,0,0,0,0,0,0
95,bʰergʰ-, bʰergʰ- ,['none'],"to preserve, to safeguard, to protect"," to preserve, to safeguard, to protect ",ine-pro,4,0,0,1,1,0,0,1,0,0,1
96,bergtei, bergtei ,['bʰergʰ-'],"to preserve, to safeguard, to protect"," to preserve, to safeguard, to protect ",ine-bsl-pro,1,0,0,1,0,0,0,0,0,0,0
97,berganą, berganą ,['bʰergʰ-'],"to preserve, to safeguard, to protect"," to preserve, to safeguard, to protect ",gem-pro,1,0,0,0,1,0,0,0,0,0,0
98,bʰérgʰ(e)ti, bʰérgʰ(e)ti | bʰérgʰeti | bʰérgʰti ,['bʰergʰ-'],"to preserve, to safeguard, to protect"," to preserve, to safeguard, to protect ",ine-pro,2,0,0,1,1,0,0,0,0,0,0
99,burgijaną, burgijaną ,['bʰergʰ-'],"to preserve, to safeguard, to protect"," to preserve, to safeguard, to protect ",gem-pro,1,0,0,0,1,0,0,0,0,0,0
100,bʰr̥gʰyéti, bʰr̥gʰyéti ,['bʰergʰ-'],"to preserve, to safeguard, to protect"," to preserve, to safeguard, to protect ",ine-pro,1,0,0,0,1,0,0,0,0,0,0
101,bróg, bróg ,['bʰergʰ-'],"to preserve, to safeguard, to protect"," to preserve, to safeguard, to protect ",pl,1,0,0,1,0,0,0,0,0,0,0
102,borgъ, borgъ ,['bʰergʰ-'],"to preserve, to safeguard, to protect"," to preserve, to safeguard, to protect ",sla-pro,1,0,0,1,0,0,0,0,0,0,0
103,bʰorgʰo-, bʰorgʰo- ,['bʰergʰ-'],"to preserve, to safeguard, to protect"," to preserve, to safeguard, to protect ",ine-pro,1,0,0,1,0,0,0,0,0,0,0
104,commairge, commairge ,['bʰergʰ-'],"to preserve, to safeguard, to protect"," to preserve, to safeguard, to protect ",sga,1,0,0,0,0,0,0,1,0,0,0
105,byrga, byrga ,['bʰergʰ-'],"to preserve, to safeguard, to protect"," to preserve, to safeguard, to protect ",ang,1,0,0,0,1,0,0,0,0,0,0
106,burgio, burgio ,['bʰergʰ-'],"to preserve, to safeguard, to protect"," to preserve, to safeguard, to protect ",osx,1,0,0,0,1,0,0,0,0,0,0
107,burgeo, burgeo ,['bʰergʰ-'],"to preserve, to safeguard, to protect"," to preserve, to safeguard, to protect ",goh,1,0,0,0,1,0,0,0,0,0,0
108,burgijô, burgijô ,['bʰergʰ-'],"to preserve, to safeguard, to protect"," to preserve, to safeguard, to protect ",gem-pro,1,0,0,0,1,0,0,0,0,0,0
109,burrow, burrow ,['bʰergʰ-'],"to preserve, to safeguard, to protect"," to preserve, to safeguard, to protect ",en,1,0,0,0,1,0,0,0,0,0,0
110,бамбӕрзын, бамбӕрзын ,['bʰergʰ-'],to cover, to cover ,os,1,0,0,0,0,0,0,0,0,0,1
111,bʰerHǵós, bʰerHǵós ,['none'],birch, birch ,ine-pro,5,0,0,1,1,1,1,0,0,0,1
112,berzьnъ, berzьnъ ,['bʰerHǵós'],birch, birch ,sla-pro,1,0,0,1,0,0,0,0,0,0,0
113,berˀźsinas, berˀźsinas ,['bʰerHǵós'],birch, birch ,ine-bsl-pro,1,0,0,1,0,0,0,0,0,0,0
114,frāxinus, frāxinus ,['bʰerHǵós'],birch, birch ,la,1,0,0,0,0,0,1,0,0,0,0
115,frāksinos, frāksinos ,['bʰerHǵós'],birch, birch ,itc-pro,1,0,0,0,0,0,1,0,0,0,0
116,bʰerHǵsinos, bʰerHǵsinos ,['bʰerHǵós'],birch, birch ,ine-pro,2,0,0,1,0,0,1,0,0,0,0
117,bredh, bredh ,"['bʰerHǵós', 'bʰredʰ-']",birch, birch ,sq,1,0,0,0,0,1,0,0,0,0,0
118,bardza, bardza ,['bʰerHǵós'],birch, birch ,sqj-pro,1,0,0,0,0,1,0,0,0,0,0
119,bérˀźas, bérˀźas ,['bʰerHǵós'],birch, birch ,ine-bsl-pro,1,0,0,1,0,0,0,0,0,0,0
120,berkō, berkō ,['bʰerHǵós'],birch, birch ,gem-pro,1,0,0,0,1,0,0,0,0,0,0
121,بُرزٕ, بُرزٕ ,['bʰerHǵós'],birch, birch ,ks,1,0,0,0,0,0,0,0,0,0,1
122,भूर्ज, भूर्ज ,['bʰerHǵós'],birch, birch ,sa,1,0,0,0,0,0,0,0,0,0,1
123,bʰr̥Hȷ́ás, bʰr̥Hȷ́ás ,['bʰerHǵós'],birch, birch ,inc-pro,1,0,0,0,0,0,0,0,0,0,1
124,"vêɣ̌ʒ(n), δêɣ̌ʒ(n)", vêɣ̌ʒ(n) | δêɣ̌ʒ(n) | vêɣ̌ʒ(n) | δêɣ̌ʒn | vêɣ̌ʒn | δêɣ̌ʒ(n) | vêɣ̌ʒ | δêɣ̌ʒ(n) | vêɣ̌ʒ(n) | δêɣ̌ʒ | vêɣ̌ʒn | δêɣ̌ʒn | vêɣ̌ʒ | δêɣ̌ʒn | vêɣ̌ʒn | δêɣ̌ʒ | vêɣ̌ʒ | δêɣ̌ʒ ,['bʰerHǵós'],birch, birch ,sgh,1,0,0,0,0,0,0,0,0,0,1
125,бӕрзӕ, бӕрзӕ ,['bʰerHǵós'],birch, birch ,os-dig,1,0,0,0,0,0,0,0,0,0,1
126,бӕрз, бӕрз ,['bʰerHǵós'],birch, birch ,os-iro,1,0,0,0,0,0,0,0,0,0,1
127,fы̄rz, fы̄rz ,['bʰerHǵós'],birch, birch ,wbl,1,0,0,0,0,0,0,0,0,0,1
128,br̥Hjás, br̥Hjás ,['bʰerHǵós'],birch, birch ,ira-pro,1,0,0,0,0,0,0,0,0,0,1
129,bʰr̥Hȷ́ás, bʰr̥Hȷ́ás ,['bʰerHǵós'],birch, birch ,iir-pro,1,0,0,0,0,0,0,0,0,0,1
130,bʰers-, bʰers- ,['none'],"top, tip, point"," top, tip, point ",ine-pro,7,1,0,1,1,1,1,1,0,0,1
131,bar, bar ,['bʰers-'],grass, grass ,sq,1,0,0,0,0,1,0,0,0,0,0
132,bъrъ, bъrъ ,['bʰers-'],foxtail millet, foxtail millet ,sla-pro,1,0,0,1,0,0,0,0,0,0,0
133,buras, buras ,['bʰers-'],"top, tip, point"," top, tip, point ",ine-bsl-pro,1,0,0,1,0,0,0,0,0,0,0
134,bara, bara ,['bʰers-'],bread, bread ,br,1,0,0,0,0,0,0,1,0,0,0
135,bara, bara ,['bʰers-'],"top, tip, point"," top, tip, point ",oco,1,0,0,0,0,0,0,1,0,0,0
136,bara, bara ,['bʰers-'],bread, bread ,cy,1,0,0,0,0,0,0,1,0,0,0
137,baraɣ, baraɣ ,['bʰers-'],"top, tip, point"," top, tip, point ",cel-bry-pro,1,0,0,0,0,0,0,1,0,0,0
138,bairgen, bairgen ,['bʰers-'],"bread, loaf"," bread, loaf ",sga,1,0,0,0,0,0,0,1,0,0,0
139,ᚁᚐᚆᚆᚏᚏᚐ, ᚁᚐᚆᚆᚏᚏᚐ ,['bʰers-'],"top, tip, point"," top, tip, point ",xpi,1,0,0,0,0,0,0,1,0,0,0
140,"bargos, barginā", bargos | barginā ,['bʰers-'],"cake, bread"," cake, bread ",cel-pro,1,0,0,0,0,0,0,1,0,0,0
141,baraz, baraz ,['bʰers-'],"spiky leaves, needles of the fir or pine, awn, barley"," spiky leaves, needles of the fir or pine, awn, barley ",gem-pro,1,0,0,0,1,0,0,0,0,0,0
142,fars, fars ,['bʰers-'],"top, tip, point"," top, tip, point ",itc-pro,1,0,0,0,0,0,1,0,0,0,0
143,"bʰars-, bʰors-, bʰores-", bʰars- | bʰors- | bʰores- ,['bʰers-'],"spike, prickle"," spike, prickle ",ine-pro,5,0,0,1,1,1,1,1,0,0,0
144,bruskaz, bruskaz ,['bʰers-'],"tuft, thicket"," tuft, thicket ",gem-pro,1,0,0,0,1,0,0,0,0,0,0
145,φάσκος, φάσκος ,['bʰers-'],tufts of moss, tufts of moss ,grc,1,1,0,0,0,0,0,0,0,0,0
146,φαρσκος, φαρσκος ,['bʰers-'],"top, tip, point"," top, tip, point ",grc,1,1,0,0,0,0,0,0,0,0,0
147,pʰərskos, pʰərskos ,['bʰers-'],"top, tip, point"," top, tip, point ",grk-pro,1,1,0,0,0,0,0,0,0,0,0
148,"bʰr̥skos, bʰr̥sḱos", bʰr̥skos | bʰr̥sḱos ,['bʰers-'],"top, tip, point"," top, tip, point ",ine-pro,2,1,0,0,1,0,0,0,0,0,0
149,bъ̃rščь, bъ̃rščь ,['bʰers-'],hogweed, hogweed ,sla-pro,1,0,0,1,0,0,0,0,0,0,0
150,burštjás, burštjás ,['bʰers-'],"top, tip, point"," top, tip, point ",ine-bsl-pro,1,0,0,1,0,0,0,0,0,0,0
151,bʰr̥styós, bʰr̥styós ,['bʰers-'],"top, tip, point"," top, tip, point ",ine-pro,1,0,0,1,0,0,0,0,0,0,0
152,barros, barros ,['bʰers-'],"top, point"," top, point ",cel-pro,1,0,0,0,0,0,0,1,0,0,0
153,bʰr̥sós, bʰr̥sós ,['bʰers-'],"top, tip, point"," top, tip, point ",ine-pro,1,0,0,0,0,0,0,1,0,0,0
154,burstiz, burstiz ,['bʰers-'],bristle, bristle ,gem-pro,1,0,0,0,1,0,0,0,0,0,0
155,भृष्टि, भृष्टि ,['bʰers-'],"a point, top"," a point, top ",sa,1,0,0,0,0,0,0,0,0,0,1
156,bʰr̥ṣṭíṣ, bʰr̥ṣṭíṣ ,['bʰers-'],"top, tip, point"," top, tip, point ",inc-pro,1,0,0,0,0,0,0,0,0,0,1
157,"𐬬𐬊𐬎𐬭𐬎𐬠𐬀𐬭𐬆𐬱𐬙-, 𐬬𐬊𐬎𐬭𐬎-𐬠𐬀𐬭𐬆𐬱𐬙-", 𐬬𐬊𐬎𐬭𐬎𐬠𐬀𐬭𐬆𐬱𐬙- | 𐬬𐬊𐬎𐬭𐬎-𐬠𐬀𐬭𐬆𐬱𐬙- ,['bʰers-'],northwest side of the earth, northwest side of the earth ,ae,1,0,0,0,0,0,0,0,0,0,1
158,br̥štíš, br̥štíš ,['bʰers-'],"top, tip, point"," top, tip, point ",ira-pro,1,0,0,0,0,0,0,0,0,0,1
159,bʰr̥štíš, bʰr̥štíš ,['bʰers-'],"top, tip, point"," top, tip, point ",iir-pro,1,0,0,0,0,0,0,0,0,0,1
160,fastīgium, fastīgium ,['bʰers-'],sharp point, sharp point ,la,1,0,0,0,0,0,1,0,0,0,0
161,farstjagjom, farstjagjom ,['bʰers-'],"top, tip, point"," top, tip, point ",itc-pro,1,0,0,0,0,0,1,0,0,0,0
162,"bʰérstis, bʰr̥stís", bʰérstis | bʰr̥stís ,['bʰers-'],"top, tip, point"," top, tip, point ",ine-pro,3,0,0,0,1,0,1,0,0,0,1
163,baršina, baršina ,['bʰers-'],"top, tip, point"," top, tip, point ",ine-bsl-pro,1,0,0,1,0,0,0,0,0,0,0
164,"bʰorsinóm, bʰarsinóm", bʰorsinóm | bʰarsinóm ,['bʰers-'],"top, tip, point"," top, tip, point ",ine-pro,1,0,0,1,0,0,0,0,0,0,0
165,farīna, farīna ,['bʰers-'],flour, flour ,la,1,0,0,0,0,0,1,0,0,0,0
166,farsīnā, farsīnā ,['bʰers-'],"top, tip, point"," top, tip, point ",itc-pro,1,0,0,0,0,0,1,0,0,0,0
167,"bʰorsiHneh₂, bʰarsiHneh₂", bʰorsiHneh₂ | bʰarsiHneh₂ ,['bʰers-'],"top, tip, point"," top, tip, point ",ine-pro,1,0,0,0,0,0,1,0,0,0,0
168,"bʰorsi(H)n-, bʰarsi(H)n-", bʰorsi(H)n- | bʰarsi(H)n- | bʰorsiHn- | bʰarsi(H)n- | bʰorsi(H)n- | bʰarsiHn- | bʰorsi(H)n- | bʰarsin- | bʰorsin- | bʰarsi(H)n- | bʰorsiHn- | bʰarsiHn- | bʰorsin- | bʰarsiHn- | bʰorsiHn- | bʰarsin- | bʰorsin- | bʰarsin- ,['bʰers-'],"top, tip, point"," top, tip, point ",ine-pro,2,0,0,1,0,0,1,0,0,0,0
169,barsaz, barsaz ,['bʰers-'],"pike, bass"," pike, bass ",gem-pro,1,0,0,0,1,0,0,0,0,0,0
170,barsch, barsch ,['bʰers-'],"top, tip, point"," top, tip, point ",de,1,0,0,0,1,0,0,0,0,0,0
171,barsk, barsk ,['bʰers-'],"top, tip, point"," top, tip, point ",da,1,0,0,0,1,0,0,0,0,0,0
172,barsk, barsk ,['bʰers-'],"top, tip, point"," top, tip, point ",gmq,1,0,0,0,1,0,0,0,0,0,0
173,barsk, barsk ,['bʰers-'],"top, tip, point"," top, tip, point ",sv,1,0,0,0,1,0,0,0,0,0,0
174,barsch, barsch ,['bʰers-'],"sharp, rough, stern"," sharp, rough, stern ",gml,1,0,0,0,1,0,0,0,0,0,0
175,barsk, barsk ,['bʰers-'],"top, tip, point"," top, tip, point ",osx,1,0,0,0,1,0,0,0,0,0,0
176,barskaz, barskaz ,['bʰers-'],"top, tip, point"," top, tip, point ",gem-pro,1,0,0,0,1,0,0,0,0,0,0
177,brū̃sgai, brū̃sgai ,['bʰers-'],underbrush, underbrush ,lt,1,0,0,1,0,0,0,0,0,0,0
178,bʰórsos, bʰórsos ,['bʰers-'],"top, tip, point"," top, tip, point ",ine-pro,2,0,0,1,1,0,0,0,0,0,0
179,brot, brot ,['bʰers-'],goad, goad ,sga,1,0,0,0,0,0,0,1,0,0,0
180,brazdos, brazdos ,['bʰers-'],"top, tip, point"," top, tip, point ",cel-pro,1,0,0,0,0,0,0,1,0,0,0
181,breard, breard ,['bʰers-'],"brim, margin"," brim, margin ",ang,1,0,0,0,1,0,0,0,0,0,0
182,brart, brart ,['bʰers-'],"edge, board"," edge, board ",gmh,1,0,0,0,1,0,0,0,0,0,0
183,brart, brart ,['bʰers-'],edge, edge ,goh,1,0,0,0,1,0,0,0,0,0,0
184,braʀd, braʀd ,['bʰers-'],"top, tip, point"," top, tip, point ",gmw-pro,1,0,0,0,1,0,0,0,0,0,0
185,bradd, bradd ,['bʰers-'],edge, edge ,ovd,1,0,0,0,1,0,0,0,0,0,0
186,bradd, bradd ,['bʰers-'],edge, edge ,is,1,0,0,0,1,0,0,0,0,0,0
187,bradd, bradd ,['bʰers-'],"shore, side"," shore, side ",no,1,0,0,0,1,0,0,0,0,0,0
188,bradd, bradd ,['bʰers-'],"top, tip, point"," top, tip, point ",non,1,0,0,0,1,0,0,0,0,0,0
