,Root,SearchRoot,Parents,Meanings,SearchMeanings,Lang,Clade_Count,Hellenic,Anatolian,Balto-Slavic,Germanic,Albanian,Italic,Celtic,Armenian,Tocharian,Indo-Iranic
19464,embaddusisi, embaddusisi ,['bʰedʰh₂-'],"to dig, to burrow, to pierce, to stab"," to dig, to burrow, to pierce, to stab ",prg,1,0,0,1,0,0,0,0,0,0,0
19465,bosti, bosti ,['bʰedʰh₂-'],"to dig, to burrow, to pierce, to stab"," to dig, to burrow, to pierce, to stab ",sla-pro,1,0,0,1,0,0,0,0,0,0,0
19466,bestei, bestei ,['bʰedʰh₂-'],"to pierce, to stab"," to pierce, to stab ",ine-bsl-pro,1,0,0,1,0,0,0,0,0,0,0
19467,bʰédʰh₂eti, bʰédʰh₂eti ,['bʰedʰh₂-'],"to dig, to burrow, to pierce, to stab"," to dig, to burrow, to pierce, to stab ",ine-pro,1,0,0,1,0,0,0,0,0,0,0
19468,"𒁁𒁕𒀀𒄿, 1", 𒁁𒁕𒀀𒄿 | 1 ,['bʰedʰh₂-'],to dig, to dig ,hit,1,0,1,0,0,0,0,0,0,0,0
19469,bádīˀtei, bádīˀtei ,['bʰedʰh₂-'],"to pierce, to stab"," to pierce, to stab ",ine-bsl-pro,1,0,0,1,0,0,0,0,0,0,0
19470,foðjō, foðjō ,['bʰedʰh₂-'],"to dig, to burrow, to pierce, to stab"," to dig, to burrow, to pierce, to stab ",itc-pro,1,0,0,0,0,0,1,0,0,0,0
19471,pāt-, pāt- ,['bʰedʰh₂-'],"to dig, to burrow, to pierce, to stab"," to dig, to burrow, to pierce, to stab ",xto,1,0,0,0,0,0,0,0,0,1,0
19472,pāt-, pāt- ,['bʰedʰh₂-'],to plow, to plow ,ine-toc-pro,1,0,0,0,0,0,0,0,0,1,0
19473,"bʰódʰh₂ey, bʰdʰh₂énti", bʰódʰh₂ey | bʰdʰh₂énti ,['bʰedʰh₂-'],"to dig, to burrow, to pierce, to stab"," to dig, to burrow, to pierce, to stab ",ine-pro,4,0,1,1,0,0,1,0,0,1,0
19474,bedom, bedom ,['bʰedʰh₂-'],"grave, ditch"," grave, ditch ",cel-pro,1,0,0,0,0,0,0,1,0,0,0
19475,bʰédʰh₂om, bʰédʰh₂om ,['bʰedʰh₂-'],"to dig, to burrow, to pierce, to stab"," to dig, to burrow, to pierce, to stab ",ine-pro,1,0,0,0,0,0,0,1,0,0,0
19476,"bádHr̥, bádHah", bádHr̥ | bádHah ,['bʰedʰh₂-'],"spade, shovel"," spade, shovel ",ira-pro,1,0,0,0,0,0,0,0,0,0,1
19477,"bʰádʰHr̥, bʰádʰHas", bʰádʰHr̥ | bʰádʰHas ,['bʰedʰh₂-'],"to dig, to burrow, to pierce, to stab"," to dig, to burrow, to pierce, to stab ",iir-pro,1,0,0,0,0,0,0,0,0,0,1
19478,"bʰódʰh₂r̥, bʰédʰh₂n̥s", bʰódʰh₂r̥ | bʰédʰh₂n̥s ,['bʰedʰh₂-'],"to dig, to burrow, to pierce, to stab"," to dig, to burrow, to pierce, to stab ",ine-pro,1,0,0,0,0,0,0,0,0,0,1
19479,bodwos, bodwos ,['bʰedʰh₂-'],fight, fight ,cel-pro,1,0,0,0,0,0,0,1,0,0,0
19480,badwō, badwō ,['bʰedʰh₂-'],"battle, fight"," battle, fight ",gem-pro,1,0,0,0,1,0,0,0,0,0,0
19481,bʰodʰh₂wos, bʰodʰh₂wos ,['bʰedʰh₂-'],"to dig, to burrow, to pierce, to stab"," to dig, to burrow, to pierce, to stab ",ine-pro,2,0,0,0,1,0,0,1,0,0,0
19482,badją, badją ,"['bʰedʰ-', 'bʰedʰh₂-']","bed, bedding"," bed, bedding ",gem-pro,1,0,0,0,1,0,0,0,0,0,0
19483,bʰodʰh₂yóm, bʰodʰh₂yóm ,['bʰedʰh₂-'],"to dig, to burrow, to pierce, to stab"," to dig, to burrow, to pierce, to stab ",ine-pro,1,0,0,0,1,0,0,0,0,0,0
19484,gʷʰedʰ-, gʷʰedʰ- ,['none'],"to request, to pray, to ask for"," to request, to pray, to ask for ",ine-pro,6,1,0,1,1,0,0,1,1,0,1
19485,θέσσασθαι, θέσσασθαι ,['gʷʰedʰ-'],to pray for, to pray for ,grc,1,1,0,0,0,0,0,0,0,0,0
19486,"gʷʰḗdʰst, gʷʰédʰsn̥t", gʷʰḗdʰst | gʷʰédʰsn̥t ,['gʷʰedʰ-'],"to request, to pray, to ask for"," to request, to pray, to ask for ",ine-pro,1,1,0,0,0,0,0,0,0,0,0
19487,ποθέω, ποθέω ,['gʷʰedʰ-'],"to request, to pray, to ask for"," to request, to pray, to ask for ",grc,1,1,0,0,0,0,0,0,0,0,0
19488,gʷʰodʰéyeti, gʷʰodʰéyeti ,['gʷʰedʰ-'],"to request, to pray, to ask for"," to request, to pray, to ask for ",ine-pro,1,1,0,0,0,0,0,0,0,0,0
19489,pasigèsti, pasigèsti ,['gʷʰedʰ-'],to miss, to miss ,lt,1,0,0,1,0,0,0,0,0,0,0
19490,"žę̄dàti, žęďati", žę̄dàti | žęďati ,['gʷʰedʰ-'],"to request, to pray, to ask for"," to request, to pray, to ask for ",sla-pro,1,0,0,1,0,0,0,0,0,0,0
19491,gend-, gend- ,['gʷʰedʰ-'],"to request, to pray, to ask for"," to request, to pray, to ask for ",ine-bsl-pro,1,0,0,1,0,0,0,0,0,0,0
19492,"gʷʰnedʰ-, gʷʰn̥dʰ-", gʷʰnedʰ- | gʷʰn̥dʰ- ,['gʷʰedʰ-'],"to request, to pray, to ask for"," to request, to pray, to ask for ",ine-pro,1,0,0,1,0,0,0,0,0,0,0
19493,gweddi, gweddi ,['gʷʰedʰ-'],"to request, to pray, to ask for"," to request, to pray, to ask for ",cy,1,0,0,0,0,0,0,1,0,0,0
19494,geis, geis ,['gʷʰedʰ-'],"to request, to pray, to ask for"," to request, to pray, to ask for ",ga,1,0,0,0,0,0,0,1,0,0,0
19495,geiss, geiss ,['gʷʰedʰ-'],"curse, taboo"," curse, taboo ",sga,1,0,0,0,0,0,0,1,0,0,0
19496,gʷeddis, gʷeddis ,['gʷʰedʰ-'],"to request, to pray, to ask for"," to request, to pray, to ask for ",cel-pro,1,0,0,0,0,0,0,1,0,0,0
